angle,Nasicon/C -1,Nasicon/P 1 21/n 1,Nasicon/P b n a,Nasicon/R -3 c H,ZrP2O7/P a -3,YPO4/I 41/a m d Z,Mg2P2O7/B 1 21/c 1 ,Mg2P2O7/P 1 21/c 1,P2O5/R 3 c H,P2O5/F d d 2,P2O5/P n a m,P2O5/R 3 c R,Y(PO3)3/R -3 H,Y(PO3)3/C 1 2/c 1,Y(PO3)3/P 1 21/m 1,Y(PO3)3/C 1 c 1
67.4,159.0,166.0,626.0,634.0,6.0,0.0,70.0,20.0,13.0,35.0,77.0,41.0,236.0,180.0,227.0,20.0
67.5,131.0,181.0,206.0,153.0,80.0,0.0,193.0,68.0,57.0,2.0,13.0,85.0,75.0,328.0,96.0,68.0
67.6,81.0,491.0,66.0,15.0,371.0,0.0,214.0,183.0,159.0,0.0,1.0,156.0,320.0,284.0,29.0,183.0
67.7,71.0,672.0,281.0,7.0,594.0,0.0,118.0,198.0,153.0,0.0,0.0,101.0,864.0,117.0,46.0,198.0
67.8,126.0,440.0,810.0,102.0,329.0,0.0,43.0,106.0,51.0,0.0,0.0,23.0,912.0,39.0,61.0,106.0
67.9,209.0,172.0,966.0,520.0,63.0,0.0,32.0,48.0,6.0,1.0,4.0,2.0,480.0,12.0,32.0,48.0
68.0,250.0,225.0,560.0,918.0,4.0,5.0,60.0,14.0,0.0,11.0,50.0,0.0,191.0,11.0,9.0,14.0
68.1,279.0,370.0,205.0,585.0,0.0,22.0,62.0,4.0,0.0,47.0,213.0,0.0,53.0,38.0,5.0,4.0
68.2,297.0,396.0,112.0,209.0,0.0,67.0,123.0,39.0,0.0,73.0,313.0,0.0,57.0,57.0,13.0,39.0
68.3,255.0,538.0,67.0,119.0,0.0,278.0,274.0,231.0,0.0,58.0,162.0,0.0,172.0,30.0,26.0,231.0
68.4,215.0,523.0,40.0,107.0,0.0,616.0,238.0,480.0,3.0,63.0,52.0,0.0,237.0,6.0,31.0,480.0
68.5,255.0,242.0,62.0,372.0,13.0,493.0,78.0,365.0,9.0,55.0,65.0,0.0,230.0,1.0,28.0,365.0
68.6,240.0,79.0,60.0,762.0,142.0,137.0,20.0,123.0,10.0,19.0,58.0,2.0,181.0,5.0,35.0,123.0
68.7,203.0,69.0,61.0,687.0,544.0,14.0,17.0,39.0,4.0,2.0,19.0,9.0,113.0,19.0,48.0,39.0
68.8,211.0,107.0,217.0,388.0,721.0,2.0,14.0,24.0,1.0,0.0,3.0,15.0,217.0,27.0,40.0,24.0
68.9,161.0,126.0,388.0,206.0,331.0,3.0,6.0,22.0,0.0,0.0,7.0,9.0,376.0,24.0,25.0,22.0
69.0,171.0,124.0,255.0,185.0,53.0,2.0,3.0,14.0,0.0,0.0,69.0,2.0,546.0,17.0,21.0,14.0
69.1,206.0,215.0,68.0,121.0,3.0,0.0,4.0,19.0,1.0,0.0,311.0,0.0,635.0,14.0,21.0,19.0
69.2,147.0,271.0,25.0,31.0,0.0,0.0,6.0,29.0,4.0,0.0,560.0,0.0,385.0,13.0,25.0,29.0
69.3,57.0,159.0,32.0,4.0,0.0,0.0,22.0,26.0,19.0,0.0,610.0,2.0,154.0,6.0,44.0,26.0
69.4,24.0,81.0,34.0,1.0,0.0,0.0,41.0,48.0,69.0,0.0,596.0,8.0,45.0,3.0,50.0,48.0
69.5,54.0,103.0,31.0,1.0,0.0,0.0,39.0,81.0,111.0,5.0,355.0,10.0,9.0,13.0,56.0,81.0
69.6,94.0,110.0,36.0,0.0,0.0,0.0,37.0,71.0,64.0,27.0,218.0,7.0,28.0,23.0,107.0,71.0
69.7,87.0,65.0,68.0,0.0,3.0,0.0,40.0,47.0,17.0,49.0,227.0,30.0,90.0,14.0,141.0,47.0
69.8,47.0,39.0,85.0,0.0,7.0,0.0,62.0,54.0,37.0,31.0,208.0,87.0,168.0,3.0,188.0,54.0
69.9,63.0,44.0,46.0,0.0,7.0,0.0,68.0,58.0,121.0,7.0,110.0,88.0,219.0,0.0,206.0,58.0
70.0,109.0,65.0,13.0,0.0,3.0,0.0,42.0,53.0,142.0,1.0,24.0,31.0,147.0,0.0,110.0,53.0
70.1,90.0,61.0,10.0,0.0,0.0,0.0,24.0,38.0,59.0,0.0,2.0,8.0,55.0,0.0,64.0,38.0
70.2,50.0,31.0,15.0,0.0,0.0,1.0,9.0,21.0,22.0,0.0,3.0,48.0,88.0,0.0,94.0,21.0
70.3,34.0,17.0,14.0,0.0,0.0,21.0,5.0,15.0,74.0,0.0,18.0,198.0,303.0,1.0,114.0,15.0
70.4,20.0,27.0,8.0,0.0,0.0,154.0,39.0,15.0,143.0,5.0,47.0,285.0,491.0,14.0,106.0,15.0
70.5,17.0,37.0,5.0,0.0,0.0,394.0,187.0,38.0,103.0,54.0,56.0,146.0,476.0,56.0,105.0,38.0
70.6,21.0,42.0,4.0,0.0,1.0,349.0,322.0,159.0,28.0,187.0,63.0,40.0,382.0,86.0,137.0,159.0
70.7,36.0,64.0,12.0,13.0,15.0,108.0,196.0,290.0,3.0,226.0,58.0,66.0,175.0,56.0,152.0,290.0
70.8,105.0,185.0,106.0,174.0,90.0,12.0,56.0,199.0,4.0,95.0,22.0,106.0,53.0,36.0,198.0,199.0
70.9,249.0,386.0,412.0,829.0,182.0,0.0,55.0,117.0,42.0,14.0,3.0,62.0,59.0,25.0,193.0,117.0
71.0,261.0,475.0,607.0,1374.0,129.0,0.0,77.0,234.0,172.0,1.0,0.0,13.0,138.0,10.0,125.0,234.0
71.1,212.0,662.0,384.0,794.0,32.0,0.0,121.0,267.0,342.0,0.0,0.0,1.0,215.0,25.0,113.0,267.0
71.2,397.0,626.0,412.0,163.0,3.0,0.0,195.0,119.0,304.0,0.0,0.0,0.0,233.0,111.0,93.0,119.0
71.3,461.0,284.0,857.0,35.0,0.0,0.0,174.0,39.0,106.0,0.0,0.0,7.0,129.0,232.0,43.0,39.0
71.4,202.0,158.0,1025.0,54.0,0.0,0.0,182.0,96.0,13.0,0.0,0.0,63.0,37.0,239.0,15.0,96.0
71.5,39.0,254.0,816.0,45.0,0.0,0.0,325.0,246.0,1.0,0.0,0.0,194.0,85.0,114.0,13.0,246.0
71.6,68.0,335.0,679.0,33.0,0.0,0.0,472.0,340.0,0.0,0.0,0.0,209.0,318.0,22.0,18.0,340.0
71.7,231.0,217.0,609.0,49.0,0.0,0.0,340.0,354.0,0.0,0.0,0.0,78.0,463.0,2.0,35.0,354.0
71.8,312.0,139.0,378.0,36.0,0.0,0.0,105.0,601.0,0.0,0.0,0.0,10.0,278.0,0.0,171.0,601.0
71.9,241.0,296.0,277.0,11.0,0.0,0.0,28.0,629.0,0.0,0.0,7.0,0.0,104.0,3.0,510.0,629.0
72.0,200.0,706.0,200.0,11.0,0.0,0.0,18.0,250.0,0.0,1.0,64.0,0.0,67.0,12.0,603.0,250.0
72.1,193.0,897.0,162.0,46.0,0.0,0.0,19.0,46.0,0.0,19.0,216.0,0.0,155.0,22.0,333.0,46.0
72.2,140.0,749.0,221.0,121.0,0.0,0.0,33.0,20.0,0.0,129.0,297.0,0.0,381.0,14.0,200.0,20.0
72.3,51.0,498.0,229.0,182.0,0.0,0.0,41.0,21.0,0.0,319.0,422.0,0.0,526.0,3.0,161.0,21.0
72.4,15.0,211.0,156.0,122.0,0.0,0.0,43.0,20.0,0.0,383.0,889.0,0.0,402.0,2.0,114.0,20.0
72.5,8.0,72.0,73.0,30.0,0.0,0.0,69.0,38.0,0.0,452.0,847.0,0.0,291.0,13.0,117.0,38.0
72.6,4.0,35.0,22.0,3.0,0.0,0.0,87.0,94.0,0.0,379.0,289.0,0.0,171.0,55.0,168.0,94.0
72.7,11.0,53.0,3.0,0.0,1.0,0.0,100.0,129.0,0.0,127.0,75.0,0.0,88.0,89.0,164.0,129.0
72.8,35.0,88.0,1.0,0.0,21.0,0.0,117.0,138.0,3.0,15.0,235.0,1.0,69.0,53.0,75.0,138.0
72.9,49.0,131.0,14.0,1.0,137.0,0.0,86.0,190.0,41.0,0.0,473.0,22.0,106.0,32.0,21.0,190.0
73.0,39.0,170.0,104.0,9.0,316.0,0.0,54.0,171.0,233.0,0.0,337.0,152.0,173.0,71.0,10.0,171.0
73.1,30.0,130.0,321.0,35.0,256.0,0.0,47.0,71.0,462.0,0.0,100.0,383.0,123.0,105.0,8.0,71.0
73.2,37.0,91.0,378.0,45.0,73.0,0.0,28.0,39.0,330.0,0.0,38.0,396.0,39.0,101.0,19.0,39.0
73.3,45.0,86.0,176.0,20.0,7.0,0.0,7.0,55.0,179.0,0.0,33.0,431.0,10.0,78.0,39.0,55.0
73.4,30.0,120.0,84.0,3.0,0.0,0.0,3.0,44.0,431.0,0.0,74.0,578.0,50.0,95.0,60.0,44.0
73.5,21.0,228.0,94.0,0.0,0.0,0.0,14.0,15.0,631.0,5.0,111.0,350.0,211.0,143.0,65.0,15.0
73.6,34.0,221.0,60.0,0.0,0.0,0.0,30.0,14.0,334.0,31.0,61.0,83.0,347.0,173.0,74.0,14.0
73.7,52.0,89.0,33.0,0.0,0.0,0.0,31.0,30.0,74.0,72.0,12.0,9.0,277.0,151.0,115.0,30.0
73.8,48.0,27.0,25.0,0.0,1.0,0.0,27.0,24.0,26.0,61.0,1.0,0.0,189.0,112.0,111.0,24.0
73.9,85.0,15.0,14.0,0.0,13.0,0.0,26.0,10.0,49.0,44.0,0.0,0.0,99.0,87.0,45.0,10.0
74.0,229.0,19.0,20.0,0.0,48.0,5.0,16.0,24.0,76.0,78.0,2.0,1.0,38.0,67.0,21.0,24.0
74.1,299.0,54.0,40.0,10.0,64.0,47.0,13.0,59.0,45.0,75.0,13.0,9.0,139.0,45.0,60.0,59.0
74.2,199.0,77.0,35.0,86.0,30.0,153.0,19.0,68.0,10.0,26.0,50.0,36.0,462.0,36.0,111.0,68.0
74.3,122.0,48.0,15.0,249.0,5.0,256.0,17.0,68.0,1.0,3.0,78.0,52.0,616.0,74.0,91.0,68.0
74.4,163.0,15.0,4.0,258.0,0.0,503.0,9.0,56.0,0.0,0.0,44.0,27.0,528.0,130.0,62.0,56.0
74.5,214.0,31.0,6.0,139.0,0.0,720.0,5.0,20.0,0.0,0.0,9.0,6.0,487.0,113.0,118.0,20.0
74.6,181.0,198.0,65.0,364.0,0.0,405.0,6.0,4.0,0.0,0.0,1.0,2.0,531.0,40.0,154.0,4.0
74.7,141.0,516.0,306.0,933.0,0.0,81.0,11.0,5.0,0.0,0.0,0.0,0.0,580.0,6.0,128.0,5.0
74.8,215.0,561.0,728.0,873.0,0.0,6.0,21.0,14.0,0.0,0.0,0.0,0.0,373.0,1.0,154.0,14.0
74.9,250.0,312.0,898.0,288.0,2.0,0.0,30.0,41.0,0.0,10.0,0.0,0.0,352.0,3.0,137.0,41.0
75.0,186.0,160.0,524.0,34.0,13.0,0.0,21.0,67.0,0.0,75.0,0.0,0.0,692.0,4.0,90.0,67.0
75.1,100.0,144.0,177.0,23.0,27.0,0.0,6.0,68.0,7.0,201.0,0.0,0.0,750.0,3.0,133.0,68.0
75.2,54.0,118.0,204.0,187.0,19.0,0.0,5.0,59.0,58.0,191.0,0.0,1.0,327.0,1.0,175.0,59.0
75.3,126.0,54.0,302.0,536.0,5.0,0.0,21.0,41.0,167.0,64.0,0.0,7.0,66.0,1.0,96.0,41.0
75.4,215.0,58.0,175.0,543.0,0.0,0.0,38.0,31.0,176.0,8.0,0.0,18.0,103.0,4.0,21.0,31.0
75.5,158.0,181.0,55.0,197.0,0.0,0.0,26.0,46.0,68.0,3.0,0.0,18.0,320.0,8.0,5.0,46.0
75.6,81.0,308.0,55.0,57.0,0.0,0.0,14.0,40.0,19.0,42.0,0.0,19.0,518.0,18.0,15.0,40.0
75.7,138.0,234.0,83.0,148.0,0.0,0.0,24.0,13.0,70.0,189.0,0.0,71.0,617.0,26.0,29.0,13.0
